,,,596,1048,,,,432,528,,,260,1740,,,1353,2152,,,181,175,,,95,123
,,bzlib-function-id,rustmap,c2rust,,,block-function-id,rustmap,c2rust,,bzip2-function-id,rustmap,c2rust,,decompress-function-id,rustmap,c2rust,,compress-function-id,rustmap,c2rust,,huffman-function-id,CRUSTS,C2Rust
,,2,12,6,,,28,42,51,,1,1,1,,5,3,3,,18,3,3,,4,15,9
,,3,14,13,,,29,42,44,,9,3,3,,59,1350,2149,,20,1,4,,17,11,21
,,6,4,6,,,30,4,4,,10,1,1,,,,,,24,4,1,,62,69,93
,,7,136,315,,,31,10,10,,13,3,3,,,,,,28,0,0,,,,
,,8,164,372,,,68,49,124,,43,0,0,,,,,,63,173,167,,,,
,,9,4,17,,,69,137,93,,49,2,2,,,,,,,,,,,,
,,16,8,6,,,70,50,93,,50,1,2,,,,,,,,,,,,
,,25,1,1,,,71,75,77,,52,4,4,,,,,,,,,,,,
,,30,94,77,,,72,23,32,,53,1,1,,,,,,,,,,,,
,,36,1,1,,,,,,,54,5,2,,,,,,,,,,,,
,,39,11,25,,,,,,,74,0,0,,,,,,,,,,,,
,,41,6,15,,,,,,,75,0,0,,,,,,,,,,,,
,,42,0,0,,,,,,,76,0,0,,,,,,,,,,,,
,,46,1,1,,,,,,,79,0,0,,,,,,,,,,,,
,,62,4,6,,,,,,,80,0,0,,,,,,,,,,,,
,,64,43,48,,,,,,,81,3,1,,,,,,,,,,,,
,,70,35,30,,,,,,,82,0,0,,,,,,,,,,,,
,,73,29,52,,,,,,,84,1,1,,,,,,,,,,,,
,,75,29,57,,,,,,,87,0,0,,,,,,,,,,,,
,,,,,,,,,,,88,0,1,,,,,,,,,,,,
,,,,,,,,,,,90,3,24,,,,,,,,,,,,
,,,,,,,,,,,93,0,0,,,,,,,,,,,,
,,,,,,,,,,,94,1,1,,,,,,,,,,,,
,,,,,,,,,,,95,6,4,,,,,,,,,,,,
,,,,,,,,,,,96,0,0,,,,,,,,,,,,
,,,,,,,,,,,97,12,257,,,,,,,,,,,,
,,,,,,,,,,,98,39,684,,,,,,,,,,,,
,,,,,,,,,,,99,10,233,,,,,,,,,,,,
,,,,,,,,,,,100,9,19,,,,,,,,,,,,
,,,,,,,,,,,102,0,0,,,,,,,,,,,,
,,,,,,,,,,,105,2,3,,,,,,,,,,,,
,,,,,,,,,,,107,89,89,,,,,,,,,,,,
,,,,,,,,,,,108,11,62,,,,,,,,,,,,
,,,,,,,,,,,110,53,342,,,,,,,,,,,,
