,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,RustMap,C2Rust,,
,,,,,,,,middle_three_digits-c.rs,4,,middle_three_digits,6
,,,,,,,,modular_inverse-c.rs,3,,modular_inverse,3
,,,,,,,,monty_hall_problem-c.rs,6,,monty_hall_problem,19
,,,,,,,,multiplication_tables-c.rs,5,,multiplication_tables,15
,,,,,,,,munchausen_numbers-c.rs,5,,munchausen_numbers,5
,,,,,,,,mutual_recursion-c.rs,4,,mutual_recursion,6
,,,,,,,,n_plus_one_half-c.rs,4,,n_plus_one_half,4
,,,,,,,,n_queens_problem-c.rs,4,,n_queens_problem,24
,,,,,,,,negative_base_numbers-c.rs,15,,negative_base_numbers,17
,,,,,,,,next_highest_int_from_digits-c.rs,13,,next_highest_int_from_digits,12
,,,,,,,,nimber_arithmetic-c.rs,10,,nimber_arithmetic,10
,,,,,,,,nth-c.rs,13,,nth,16
,,,,,,,,null_object-c.rs,1,,null_object,1
,,,,,,,,number_names-c.rs,22,,number_names,101
,,,,,,,,numerical_integration-c.rs,9,,numerical_integration,9
,,,,,,,,one_dimensional_cellular_automata-c.rs,10,,one_dimensional_cellular_automata,4
,,,,,,,,one_of_n_lines_in_a_file-c.rs,15,,one_of_n_lines_in_a_file,11
,,,,,,,,perfect_numbers-c.rs,13,,perfect_numbers,9
,,,,,,,,phrase_reversals-c.rs,7,,phrase_reversals,8
,,,,,,,,population_count-c.rs,17,,population_count,12
,,,,,,,,price_fraction-c.rs,17,,price_fraction,4
,,,,,,,,proper_divisors-c.rs,16,,proper_divisors,16
,,,,,,,,pythagorean_quadruples-c.rs,12,,pythagorean_quadruples,13
,,,,,,,,pythagorean_triples-c.rs,3,,pythagorean_triples,3
,,,,,,,,quickselect_algorithm-c.rs,10,,quickselect_algorithm,9
,,,,,,,,range_expansion-c.rs,32,,range_expansion,19
,,,,,,,,range_extraction-c.rs,32,,range_extraction,40
,,,,,,,,rational-c.rs,19,,rational,15
,,,,,,,,repeat-c.rs,1,,repeat,4
,,,,,,,,repeat_a_string-c.rs,0,,repeat_a_string,1
,,,,,,,,roman_numerals_decode-c.rs,8,,roman_numerals_decode,11
,,,,,,,,root_mean_square-c.rs,0,,root_mean_square,1
,,,,,,,,roots_of_unity-c.rs,32,,roots_of_unity,47
,,,,,,,,runge_kutta_method-c.rs,8,,runge_kutta_method,2
,,,,,,,,set-c.rs,5,,set,14
,,,,,,,,sexy_primes-c.rs,14,,sexy_primes,92
,,,,,,,,short_circuit_evaluation-c.rs,0,,short_circuit_evaluation,8
,,,,,,,,show_ascii_table,10,,show_ascii_table,6
,,,,,,,,,1213,,,1596
